,SITE_ID,COUNTRY,LATITUDE,LONGITUDE,POINT_INFO,FARM_TYPE,COAST_DIST,POSITION_COASTLINE,STATUS,PRODUCTION_METHOD,PRODUCTS_DETAIL,PRODUCTION_STAGE,PURPOSE,OWNER_NAME
74,EL_0112,Greece,38.22972222200008,22.808055556000056,Original,n.a.,115.2978,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,HELLENIC FISHFARMING S.A.
75,EL_0113,Greece,38.457638889000066,21.101111111000023,Original,n.a.,144.6305,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,HELLENIC FISHFARMING S.A.
76,EL_0114,Greece,38.63722222200005,23.111944444000073,Original,n.a.,42.6183,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,HELLENIC FISHFARMING S.A.
77,EL_0115,Greece,37.61111111100007,23.308333333000064,Original,n.a.,121.9171,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,HELLENIC FISHFARMING S.A.
78,EL_0116,Greece,37.610330556000065,23.31623055600005,Original,n.a.,187.6086,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,HELLENIC FISHFARMING S.A.
79,EL_0119,Greece,40.21388888900003,23.76333333300005,Original,n.a.,390.2627,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,I. CHOROZOGLOU & CO. G.P.
80,EL_0121,Greece,38.543611111000075,21.001388889000054,Original,n.a.,873.9509,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ICHTYME LTD
81,EL_0125,Greece,38.64861111100004,23.111666667000065,Original,n.a.,278.5586,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,IOANNIS GLAVAS AQUACULTURES
82,EL_0126,Greece,38.593055556000024,23.328055556000038,Original,n.a.,224.8565,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,IOANNIS K. TZELEPIS  AQUACULTURES-AQUATRADE S.A.
83,EL_0127,Greece,39.522500000000036,20.164722222000023,Original,n.a.,138.4521,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,K. GEORGIOU S.A.
84,EL_0128,Greece,39.49305555600006,20.240000000000066,Original,n.a.,144.7441,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,K. GEORGIOU S.A.
85,EL_0133,Greece,37.495555556000056,22.933333333000064,Original,n.a.,299.6617,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KARXARIAS LTD.
86,EL_0134,Greece,37.667500000000075,23.945277778000047,Original,n.a.,157.6054,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KASTELORIZO S.A.
87,EL_0135,Greece,38.236666667000065,20.46305555600003,Original,n.a.,188.6261,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KEFALONIA AQUACULTURE S.A.
88,EL_0136,Greece,38.248805556000036,20.42833333300007,Original,n.a.,102.1083,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,KEFALONIA AQUACULTURE S.A.
89,EL_0137,Greece,38.23975000000007,20.45655555600007,Original,n.a.,612.8969,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KEFALONIA AQUACULTURE S.A.
90,EL_0138,Greece,38.21005555600004,20.473500000000058,Original,n.a.,466.6396,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KEFALONIA AQUACULTURE S.A.
91,EL_0142,Greece,38.410000000000025,22.39500000000004,Original,n.a.,127.6639,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KONSTANTINA MANDROY
92,EL_0144,Greece,37.49888888900006,22.922083333000046,Original,n.a.,74.9331,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,KORALLI P.C.
93,EL_0149,Greece,37.889808333000076,23.420363889000043,Original,n.a.,128.7441,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LAMPRANO HELLAS AQUACULTURE S.A.
94,EL_0150,Greece,38.96611111100003,20.829166667000038,Original,n.a.,155.617,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LASKARA S.A.
95,EL_0151,Greece,38.387500000000045,23.95722222200004,Original,n.a.,195.4103,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LEMOND CO. S.A.
96,EL_0152,Greece,38.38888888900004,23.941111111000055,Original,n.a.,95.9552,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,LEMOND CO. S.A.
97,EL_0153,Greece,38.38722222200005,23.94944444400005,Original,n.a.,139.0645,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LEMOND CO. S.A.
98,EL_0154,Greece,38.96611111100003,20.786666667000077,Original,n.a.,603.3157,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LEOPOULOS FISHFARMING S.A.
99,EL_0156,Greece,39.49194444400007,20.24194444400007,Original,n.a.,82.354,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LIONIS & CO G.P.
100,EL_0159,Greece,39.66694444400008,20.08916666700003,Original,n.a.,149.0618,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,LORIDA S.A.
101,EL_0161,Greece,38.60222222200008,23.338611111000034,Original,n.a.,171.7982,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MALESINA FISHFARM S.A.
102,EL_0162,Greece,38.60333333300008,23.33666666700003,Original,n.a.,35.8519,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,MALESINA FISHFARM S.A.
103,EL_0164,Greece,38.921944444000076,22.894444444000044,Original,n.a.,54.0445,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,MANTE FISH FARMS P.C.
104,EL_0165,Greece,38.919722222000075,22.89611111100004,Original,n.a.,133.5074,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MANTE FISH FARMS S.A.
105,EL_0167,Greece,38.650000000000034,23.104166667000072,Original,n.a.,294.1622,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MARE MAGNUM S.A.
106,EL_0169,Greece,39.68611111100006,20.010277778000045,Original,n.a.,306.6332,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MARICOM FISH S.A.
107,EL_0176,Greece,38.55194444400007,23.325000000000045,Original,n.a.,107.5242,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MARTINOY AQUACULTURE S.A.
108,EL_0177,Greece,38.95944444400004,20.800000000000068,Original,n.a.,273.5121,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MAVRI S.A. AQUACULTURE
109,EL_0178,Greece,38.233333333000076,22.790833333000023,Original,n.a.,57.002,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MEGALI AGIA AQUACULTURE S.A.
110,EL_0179,Greece,38.434166667000056,21.08916666700003,Original,n.a.,281.0463,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MESOLOGGI AQUACULTURE LTD
111,EL_0181,Greece,38.67250000000007,20.92805555600006,Original,n.a.,149.985,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MITIKAS S.A.
112,EL_0182,Greece,39.68194444400007,20.05750000000006,Original,n.a.,164.1937,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MPASTIA S.A.
113,EL_0184,Greece,38.95561388900006,20.81305555600005,Original,n.a.,241.9507,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MUNICIPAL FISHING ENTERPRISE OF PREVEZA S.A.
114,EL_0187,Greece,38.954444444000046,20.859444444000076,Original,n.a.,177.5555,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NEW FISH LTD
115,EL_0188,Greece,38.90083333300004,22.95833333300004,Original,n.a.,209.8724,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIKOFARM FISH FARM LTD
116,EL_0190,Greece,37.73861111100007,23.126388889000054,Original,n.a.,109.0508,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIKOLAOU MARKELLOU BROS. G.P.
117,EL_0192,Greece,40.55444444400007,23.881944444000055,Original,n.a.,119.4712,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIKOY M. - MALLIOS B. & CO G.P.
